person_id,gesture_id,timestep,sample_id,imu_id,ax,ay,az,gx,gy,gz
1,5,0,543,0,-0.08860,-8.24800,1.30480,-0.24830,-0.07250,0.05380
1,5,1,543,0,-0.44530,-8.41320,1.31440,-0.31600,-0.08130,-0.06370
1,5,2,543,0,-0.57700,-8.52810,1.35270,-0.38610,-0.08100,-0.14200
1,5,3,543,0,-0.71590,-8.90160,1.36950,-0.46390,-0.07380,-0.19770
1,5,4,543,0,-0.84990,-9.32060,1.36230,-0.48260,-0.06550,-0.22360
1,5,5,543,0,-1.00560,-9.65340,1.36950,-0.40740,-0.05970,-0.22300
1,5,6,543,0,-1.15640,-9.85450,1.42690,-0.28030,-0.05920,-0.22360
1,5,7,543,0,-1.24020,-9.84740,1.52750,-0.18520,-0.06180,-0.21640
1,5,8,543,0,-1.24740,-9.87370,1.58260,-0.12360,-0.06930,-0.19210
1,5,9,543,0,-1.10850,-9.96950,1.68070,-0.09220,-0.07860,-0.15590
1,5,10,543,0,-1.09650,-10.08680,1.74300,-0.06290,-0.09380,-0.11080
1,5,11,543,0,-1.17080,-9.97420,1.84590,-0.00850,-0.11220,-0.06740
1,5,12,543,0,-1.10610,-9.88570,1.85070,0.00450,-0.12790,-0.01630
1,5,13,543,0,-1.01270,-9.85690,1.86990,-0.02900,-0.14280,0.02660
1,5,14,543,0,-0.92660,-9.79230,1.90820,-0.05490,-0.14820,0.06950
1,5,15,543,0,-0.82840,-9.63910,1.94650,-0.06630,-0.14120,0.10100
1,5,16,543,0,-0.73260,-9.48580,1.88900,-0.07970,-0.12390,0.11880
1,5,17,543,0,-0.61770,-9.52410,1.79800,-0.08230,-0.09670,0.11800
1,5,18,543,0,-0.47640,-9.55770,1.73580,-0.04260,-0.06980,0.11240
1,5,19,543,0,-0.46690,-9.48100,1.69270,0.02180,-0.04420,0.09730
1,5,20,543,0,-0.40940,-9.39250,1.63280,0.05300,-0.02030,0.07730
1,5,21,543,0,-0.38310,-9.40200,1.65440,0.05860,-0.00130,0.05620
1,5,22,543,0,-0.40220,-9.37810,1.64720,0.06930,0.01040,0.02820
1,5,23,543,0,-0.46930,-9.37570,1.63280,0.08210,0.00910,0.00320
1,5,24,543,0,-0.51000,-9.29190,1.68790,0.05380,0.00240,-0.01440
1,5,25,543,0,-0.53390,-9.16500,1.71900,-0.00640,-0.00480,-0.03970
1,5,26,543,0,-0.59620,-9.24160,1.72860,-0.07700,-0.01310,-0.06400
1,5,27,543,0,-0.62490,-9.41880,1.75020,-0.11830,-0.02240,-0.07410
1,5,28,543,0,-0.56980,-9.66060,1.73340,-0.11030,-0.02660,-0.07730
1,5,29,543,0,-0.64400,-9.68690,1.76930,-0.05280,-0.03200,-0.07780
1,5,30,543,0,-0.70630,-9.58160,1.81480,0.00110,-0.03680,-0.07650
1,5,31,543,0,-0.67760,-9.59120,1.89380,0.01570,-0.03360,-0.06950
1,5,32,543,0,-0.59380,-9.60310,1.92490,0.03360,-0.02660,-0.06400
1,5,33,543,0,-0.62010,-9.62230,1.94650,0.04820,-0.02180,-0.05060
1,5,34,543,0,-0.64160,-9.44270,1.98720,0.04610,-0.02400,-0.03730
1,5,35,543,0,-0.62730,-9.26800,2.07100,-0.01440,-0.02240,-0.03060
1,5,36,543,0,-0.59140,-9.25600,2.09970,-0.10850,-0.01470,-0.02660
