person_id,gesture_id,timestep,sample_id,imu_id,ax,ay,az,gx,gy,gz
4,2,0,144,0,-2.56180,-9.59840,0.97680,-0.12520,-0.10980,0.01680
4,2,1,144,0,-2.60730,-9.28950,0.73260,-0.15960,-0.12340,0.02800
4,2,2,144,0,-2.54740,-9.38770,0.80920,-0.17850,-0.13990,0.03650
4,2,3,144,0,-2.52590,-9.46190,0.85950,-0.13350,-0.15670,0.04450
4,2,4,144,0,-2.50430,-9.16020,0.82120,-0.10420,-0.16200,0.04500
4,2,5,144,0,-2.48280,-9.05490,0.83800,-0.15370,-0.17000,0.03650
4,2,6,144,0,-2.42050,-9.40680,0.96490,-0.14820,-0.17190,0.03490
4,2,7,144,0,-2.37500,-9.33740,0.97200,-0.10530,-0.16200,0.03570
4,2,8,144,0,-2.38220,-9.10510,1.04150,-0.12870,-0.14040,0.03890
4,2,9,144,0,-2.38700,-9.16740,1.08460,-0.16360,-0.12920,0.02850
4,2,10,144,0,-2.39900,-9.21770,1.07260,-0.16630,-0.10630,0.01890
4,2,11,144,0,-2.43730,-9.26800,1.10850,-0.15750,-0.08930,0.00110
4,2,12,144,0,-2.39660,-9.36130,0.99120,-0.15560,-0.07670,0.00880
4,2,13,144,0,-2.37740,-9.33980,0.94090,-0.17750,-0.07970,0.00930
4,2,14,144,0,-2.38940,-9.47390,0.86670,-0.17450,-0.09380,0.01520
4,2,15,144,0,-2.36070,-9.53850,0.79490,-0.14470,-0.10550,0.02480
4,2,16,144,0,-2.40380,-9.34220,0.84520,-0.13780,-0.12520,0.02500
4,2,17,144,0,-2.29360,-9.55290,0.99600,-0.10530,-0.14280,0.02420
4,2,18,144,0,-2.27210,-9.44510,1.10850,-0.05010,-0.13000,0.02800
4,2,19,144,0,-2.29130,-9.00700,1.16360,-0.08980,-0.10530,0.03040
4,2,20,144,0,-2.33670,-9.10280,1.14680,-0.15830,-0.08050,0.01630
4,2,21,144,0,-2.40380,-9.32300,1.17790,-0.15960,-0.06530,0.01090
4,2,22,144,0,-2.38700,-9.39720,1.10130,-0.10920,-0.04530,0.00160
4,2,23,144,0,-2.38460,-9.27750,0.96970,-0.12040,-0.04130,0.00530
4,2,24,144,0,-2.38700,-9.38050,0.87150,-0.16280,-0.05440,0.01760
4,2,25,144,0,-2.35350,-9.47390,0.76380,-0.15750,-0.07170,0.02560
4,2,26,144,0,-2.35830,-9.42840,0.82120,-0.12470,-0.08630,0.02210
4,2,27,144,0,-2.33200,-9.28710,0.85950,-0.09330,-0.09750,0.01090
4,2,28,144,0,-2.29360,-9.19610,0.99120,-0.09270,-0.09670,0.00350
4,2,29,144,0,-2.28410,-9.14820,1.05340,-0.09910,-0.08130,-0.00880
4,2,30,144,0,-2.32000,-9.07160,1.07980,-0.12520,-0.05700,-0.01200
4,2,31,144,0,-2.33910,-9.22730,1.08700,-0.13800,-0.03540,-0.02800
4,2,32,144,0,-2.31040,-9.37810,1.07980,-0.12360,-0.02050,-0.03010
4,2,33,144,0,-2.32240,-9.38770,0.98400,-0.11620,-0.01200,-0.03490
4,2,34,144,0,-2.32960,-9.54330,0.94570,-0.11590,-0.01090,-0.03330
4,2,35,144,0,-2.37500,-9.53610,0.90500,-0.11000,-0.01870,-0.02110
4,2,36,144,0,-2.35590,-9.44510,0.88350,-0.10820,-0.02880,-0.01200
4,2,37,144,0,-2.39180,-9.45950,0.94810,-0.08740,-0.03680,-0.00690
4,2,38,144,0,-2.38220,-9.33980,0.97200,-0.05860,-0.03600,-0.01520
4,2,39,144,0,-2.35110,-9.30390,0.98160,-0.05010,-0.02370,-0.01790
4,2,40,144,0,11.45390,-10.15620,3.11010,-1.15560,6.21790,-0.43010
4,2,41,144,0,11.48260,-10.41720,1.41740,-1.15300,6.46810,-0.32140
4,2,42,144,0,10.59670,-10.84090,0.02630,-1.04880,6.66720,-0.19350
4,2,43,144,0,9.60790,-11.62860,-1.79800,-0.91400,6.63170,-0.04000
4,2,44,144,0,9.01180,-12.11230,-3.18190,-0.71550,6.48680,0.17350
4,2,45,144,0,7.44120,-11.25270,-3.28480,-0.44370,6.26560,0.38050
4,2,46,144,0,6.23450,-10.76190,-3.74930,-0.20280,5.94880,0.44660
4,2,47,144,0,5.72450,-10.57520,-4.22580,0.09410,5.67410,0.45670
4,2,48,144,0,4.86260,-9.54810,-4.55620,0.24250,5.41480,0.47910
4,2,0,144,1,-9.08120,-0.53630,-2.90660,-0.03010,-0.00610,-0.03890
4,2,1,144,1,-9.09800,-0.51000,-2.88500,-0.03330,-0.00430,-0.04080
4,2,2,144,1,-9.11710,-0.56740,-2.88980,-0.04100,-0.00270,-0.04000
4,2,3,144,1,-9.10990,-0.55310,-2.89220,-0.03380,-0.00270,-0.04000
4,2,4,144,1,-9.09080,-0.53150,-2.91850,-0.02770,-0.00510,-0.04020
4,2,5,144,1,-9.11230,-0.54110,-2.86350,-0.01390,-0.00670,-0.03810
4,2,6,144,1,-9.09080,-0.41660,-2.88740,-0.01410,-0.00270,-0.04450
4,2,7,144,1,-9.10990,-0.51710,-2.82990,-0.02960,-0.00110,-0.05220
4,2,8,144,1,-9.06210,-0.50040,-2.93770,-0.02930,-0.00080,-0.05600
4,2,9,144,1,-9.14110,-0.52430,-2.89940,-0.01680,-0.00350,-0.05300
4,2,10,144,1,-9.13150,-0.46690,-2.85870,-0.02370,-0.00270,-0.05810
4,2,11,144,1,-9.08600,-0.54350,-2.90420,-0.03650,-0.00160,-0.06370
4,2,12,144,1,-9.06680,-0.57940,-2.94490,-0.03540,-0.00480,-0.06210
4,2,13,144,1,-9.06920,-0.56980,-2.91610,-0.02900,-0.00720,-0.06050
4,2,14,144,1,-9.09080,-0.51950,-2.90420,-0.02690,-0.00830,-0.06180
4,2,15,144,1,-9.12190,-0.51000,-2.86590,-0.03410,-0.00610,-0.06180
4,2,16,144,1,-9.08840,-0.62970,-2.86350,-0.04180,-0.00450,-0.06210
4,2,17,144,1,-9.10510,-0.67520,-2.91850,-0.03090,-0.00800,-0.05330
4,2,18,144,1,-9.06680,-0.50280,-2.92330,-0.03380,-0.00990,-0.05060
4,2,19,144,1,-9.09320,-0.57220,-2.90180,-0.04370,-0.00770,-0.05200
4,2,20,144,1,-9.12910,-0.60570,-2.87300,-0.04130,-0.00640,-0.04960
4,2,21,144,1,-9.10750,-0.62730,-2.91130,-0.03490,-0.00770,-0.04340
4,2,22,144,1,-9.08600,-0.59380,-2.94010,-0.02820,-0.01090,-0.03860
